Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,28-079,1995,18.9,1.69,0.79,0.85,0.53,0.32,0.9,2.59,1.01,0
Omar Mascarell,es ESP,"MF,DF",Elche,30-076,1993,25.2,1.79,0.91,0.99,0.71,0.08,1.59,3.37,1.79,0.04
Jon Moncayola,es ESP,"MF,DF",Osasuna,24-341,1998,21.1,1.9,1.33,0.9,0.57,0.43,0.52,2.42,1.23,0.09
Tete Morente,es ESP,"MF,DF",Elche,26-136,1996,14.3,1.47,0.91,0.77,0.63,0.07,0.98,2.45,1.19,0
Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,28-149,1994,7.5,4,2.53,1.33,1.87,0.8,1.6,5.6,2.13,0
Olasagasti,es ESP,"MF,DF",Real Sociedad,22-246,2000,0.7,5.71,5.71,1.43,2.86,1.43,0,5.71,1.43,0
Arnau Puigmal,es ESP,"MF,DF",Almería,22-099,2001,6.1,2.3,1.48,0.98,0.66,0.66,1.48,3.77,0.33,0
Renato Tapia,pe PER,"MF,DF",Celta Vigo,27-265,1995,10.2,2.75,1.47,1.18,1.27,0.29,1.08,3.82,1.76,0
Valery,es ESP,"MF,DF",Girona,23-147,1999,7.9,1.52,0.76,0.51,0.76,0.25,1.01,2.53,0.76,0
Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24-349,1998,4.3,1.63,1.4,1.16,0.23,0.23,0.23,1.86,2.56,0.23
Wassim Boullif,es ESP,"DF,MF",Espanyol,18-075,2005,1,2,1,2,0,0,0,2,3,0
Fernando Calero,es ESP,"DF,MF",Espanyol,27-217,1995,13.8,2.39,1.38,1.38,0.87,0.14,0.65,3.04,2.9,0
Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,29-227,1993,18.3,1.53,0.77,0.93,0.55,0.05,0.66,2.19,0.82,0
Carlos Clerc,es ESP,"DF,MF",Elche,31-057,1992,21.3,2.68,1.74,1.78,0.7,0.19,0.7,3.38,2.39,0.05
Yan Couto,br BRA,"DF,MF",Girona,20-320,2002,8.1,2.35,1.6,0.99,0.99,0.37,0.49,2.84,0.62,0
Fali,es ESP,"DF,MF",Cádiz,29-250,1993,16.9,1.36,0.89,0.89,0.47,0,0.59,1.95,4.02,0.06
Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,31-154,1991,24.8,1.33,1.01,0.69,0.56,0.08,0.97,2.3,3.55,0.04
Omar El Hilali,ma MAR,"DF,MF",Espanyol,19-219,2003,1,3,2,3,0,0,1,4,6,0
Toni Lato,es ESP,"DF,MF",Valencia,25-149,1997,8,2.38,1,1,1.13,0.25,0.5,2.88,1.5,0
Johan Mojica,co COL,"DF,MF",Elche,30-241,1992,3,2,1,1.67,0.33,0,1.33,3.33,1.67,0
Rubén Peña,es ESP,"DF,MF",Osasuna,31-275,1991,7.9,2.41,1.27,0.51,1.77,0.13,1.27,3.67,2.15,0
Portu,es ESP,"DF,MF",Getafe,30-333,1992,14.3,1.54,1.05,0.77,0.63,0.14,1.12,2.66,1.12,0.07
Alejandro Pozo Pozo,es ESP,"DF,MF",Almería,24-056,1999,14,1.86,1,0.93,0.79,0.14,1.36,3.21,2.07,0.07
