Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Emanuel Aiwum,at AUT,DF,Cremonese,22-115,2000,15.9,0,0.4,0.7,-0.4,4,42,7,1,41
Kelvin Amian,fr FRA,DF,Spezia,25-070,1998,19.7,1,1.5,1.4,-0.5,12,56,13,8,72
Bruno Amione,ar ARG,DF,Hellas Verona,21-106,2002,0.6,0,0,0,0,0,0,0,0,0
Bruno Amione,ar ARG,DF,Sampdoria,21-106,2002,17.8,1,0.6,0.5,+0.4,2,27,3,1,49
Valentin Antov,bg BUL,DF,Monza,22-161,2000,3.2,0,0,0.1,0,1,12,2,0,14
Tommaso Augello,it ITA,DF,Sampdoria,28-232,1994,26,4,2.5,2.9,+1.5,28,63,38,26,90
Kaan Ayhan,tr TUR,DF,Sassuolo,28-160,1994,6.1,0,0,0,0,0,20,0,0,15
Jaime Báez,uy URU,DF,Cremonese,27-359,1995,1.1,0,0.1,0.3,-0.1,2,7,2,2,4
Fodé Ballo-Touré,sn SEN,DF,Milan,26-106,1997,4.2,0,0.2,0.3,-0.2,3,10,7,5,18
Tommaso Barbieri,it ITA,DF,Juventus,20-236,2002,0.6,0,0,0,0,0,0,0,0,0
Federico Baschirotto,it ITA,DF,Lecce,26-211,1996,29,0,0.6,0.6,-0.6,7,72,3,1,84
Alessandro Bastoni,it ITA,DF,Inter,24-006,1999,19.8,2,2.6,2.7,-0.6,13,114,24,9,129
Brian Bayeye,fr FRA,DF,Torino,22-293,2000,0.6,0,0,0,0,0,2,0,0,3
Rodrigo Becão,br BRA,DF,Udinese,27-090,1996,22.7,1,0.6,0.8,+0.4,10,68,3,2,81
Marco Benassi,it ITA,DF,Fiorentina,28-223,1994,1,0,0.1,0.1,-0.1,1,11,1,0,9
Bartosz Bereszyński,pl POL,DF,Sampdoria,30-281,1992,13.3,0,0.1,0.3,-0.1,3,32,10,3,44
Matteo Bianchetti,it ITA,DF,Cremonese,30-033,1993,20.8,0,0.3,0.4,-0.3,4,40,6,1,41
Jaka Bijol,si SVN,DF,Udinese,24-073,1999,23.4,1,0.9,1.4,+0.1,7,42,4,1,49
Cristiano Biraghi,it ITA,DF,Fiorentina,30-230,1992,24.2,2,4.9,5.5,-2.9,72,98,31,20,133
Samuele Birindelli,it ITA,DF,Monza,23-274,1999,12.7,1,1.8,1.1,-0.8,15,24,14,9,33
Kevin Bonifazi,it ITA,DF,Bologna,26-335,1996,4.6,0,0,0,0,1,14,0,0,12
Leonardo Bonucci,it ITA,DF,Juventus,35-353,1987,7.7,0,0.2,0.2,-0.2,3,28,3,0,24
Domagoj Bradarić,hr CRO,DF,Salernitana,23-130,1999,20.1,2,2.2,1.5,-0.2,16,31,16,9,42
Gleison Bremer,br BRA,DF,Juventus,26-032,1997,25.4,1,1,0.2,0,7,24,1,0,37
Dylan Bronn,tn TUN,DF,Salernitana,27-304,1995,16.3,0,0.4,0.8,-0.4,5,55,4,1,66
Alessandro Buongiorno,it ITA,DF,Torino,23-317,1999,22.2,1,1.1,0.8,-0.1,4,60,3,2,65
Juan Cabal,co COL,DF,Hellas Verona,22-101,2001,1.9,0,0.3,0.1,-0.3,2,7,2,2,11
Liberato Cacace,nz NZL,DF,Empoli,22-204,2000,4.4,0,0.2,0.1,-0.2,5,18,1,1,32
Davide Calabria,it ITA,DF,Milan,26-134,1996,13.3,3,1.3,1.2,+1.7,14,47,16,9,69
Mattia Caldara,it ITA,DF,Spezia,28-349,1994,13.9,0,0,0.1,0,1,23,1,0,34
Luca Caldirola,it ITA,DF,Monza,32-077,1991,19.8,0,0.5,0.3,-0.5,4,43,4,1,50
Andrea Cambiaso,it ITA,DF,Bologna,23-058,2000,18,2,1.6,1.1,+0.4,19,37,16,6,61
Andrea Carboni,it ITA,DF,Monza,22-074,2001,1.9,0,0.1,0.3,-0.1,1,3,2,2,9
Franco Carboni,it ITA,DF,Monza,20-015,2003,0.6,0,0,0,0,1,3,2,1,2
Carlos,br BRA,DF,Monza,24-102,1999,26.3,5,2.9,2.7,+2.1,17,58,21,4,78
Nicolò Casale,it ITA,DF,Lazio,25-064,1998,20.6,1,0.3,0.5,+0.7,4,40,1,0,56
Tommaso Cassandro,it ITA,DF,Lecce,23-100,2000,0.1,0,0,0,0,0,1,1,0,0
Pietro Ceccaroni,it ITA,DF,Lecce,27-119,1995,0.3,0,0,0,0,0,0,0,0,0
Federico Ceccherini,it ITA,DF,Hellas Verona,30-343,1992,13.4,0,0.1,0.2,-0.1,4,40,5,1,46
Zeki Çelik,tr TUR,DF,Roma,26-061,1997,12.1,0,1.3,0.9,-1.3,13,32,16,3,45
Vlad Chiricheș,ro ROU,DF,Cremonese,33-156,1989,8.1,0,0,0,0,1,12,0,0,11
Omar Colley,gm GAM,DF,Sampdoria,30-177,1992,15.4,0,0,0.1,0,0,38,1,0,33
Andrea Conti,it ITA,DF,Sampdoria,29-048,1994,0.3,0,0,0,0,0,0,0,0,1
Diego Coppola,it ITA,DF,Hellas Verona,19-112,2003,11.7,0,0,0.2,0,0,27,3,1,37
Danilo D'Ambrosio,it ITA,DF,Inter,34-222,1988,3.1,1,0.6,0.5,+0.4,4,11,3,1,15
Flavius Daniliuc,at AUT,DF,Salernitana,21-357,2001,19.1,2,0.2,0.2,+1.8,4,45,0,0,53
Danilo,br BRA,DF,Juventus,31-278,1991,28.4,3,2.3,1,+0.7,16,140,10,3,129
Matteo Darmian,it ITA,DF,Inter,33-138,1989,18.9,2,1.7,1.7,+0.3,18,61,15,9,80
Paweł Dawidowicz,pl POL,DF,Hellas Verona,27-334,1995,14.6,1,0.8,0.3,+0.2,5,40,2,0,45
Mattia De Sciglio,it ITA,DF,Juventus,30-181,1992,11.2,0,0.5,0.4,-0.5,8,49,8,6,50
Lorenzo De Silvestri,it ITA,DF,Bologna,34-331,1988,6,0,0.2,0.1,-0.2,4,21,4,1,23
Koni De Winter,be BEL,DF,Empoli,20-311,2002,11.4,0,0.2,0.1,-0.2,2,15,1,0,22
Merih Demiral,tr TUR,DF,Atalanta,25-045,1998,16.6,0,0.5,0.5,-0.5,4,14,1,1,26
Fabio Depaoli,it ITA,DF,Hellas Verona,25-360,1997,18.3,2,1,1.2,+1.0,13,36,19,12,57
Kastriot Dermaku,al ALB,DF,Lecce,31-094,1992,0.4,0,0,0,0,0,0,0,0,0
Sergiño Dest,us USA,DF,Milan,22-167,2000,3.7,0,0.3,0.2,-0.3,4,15,3,1,14
Giovanni Di Lorenzo,it ITA,DF,Napoli,29-258,1993,29.9,4,4.2,3.8,-0.2,40,146,46,9,212
Federico Dimarco,it ITA,DF,Inter,25-160,1997,18.8,2,5.2,4.6,-3.2,46,54,33,23,72
Koffi Djidji,ci CIV,DF,Torino,30-140,1992,21.7,0,0.1,0.2,-0.1,2,75,3,2,75
Berat Djimsiti,al ALB,DF,Atalanta,30-059,1993,12.4,0,0,0.1,0,1,28,2,0,35
Dodô,br BRA,DF,Fiorentina,24-153,1998,21.5,2,1.6,1.7,+0.4,22,77,23,7,122
Josh Doig,sct SCO,DF,Hellas Verona,20-336,2002,14.5,3,1,1.3,+2.0,11,28,11,7,26
Giulio Donati,it ITA,DF,Monza,33-073,1990,4.4,0,0,0.1,0,0,19,0,0,21
Denzel Dumfries,nl NED,DF,Inter,27-001,1996,20.3,3,4.4,3.5,-1.4,28,23,28,15,49
Festy Ebosele,ie IRL,DF,Udinese,20-260,2002,2.7,0,0.3,0.1,-0.3,3,8,8,5,15
Enzo Ebosse,cm CMR,DF,Udinese,24-039,1999,10.3,0,0,0.1,0,1,43,4,1,51
Tyronne Ebuehi,ng NGA,DF,Empoli,27-124,1995,14.6,1,0.4,0.4,+0.6,6,20,9,5,24
Kingsley Ehizibue,nl NED,DF,Udinese,27-329,1995,14.2,0,0.8,0.9,-0.8,7,30,11,6,39
Martin Erlic,hr CRO,DF,Sassuolo,25-085,1998,20.9,0,0.2,0.5,-0.2,2,37,0,0,47
Davide Faraoni,it ITA,DF,Hellas Verona,31-176,1991,11.2,2,0.7,0.4,+1.3,7,26,11,4,44
Federico Fazio,ar ARG,DF,Salernitana,36-033,1987,11.9,0,0.1,0.1,-0.1,3,24,3,0,40
Alex Ferrari,it ITA,DF,Sampdoria,28-292,1994,9.6,0,0.4,0.6,-0.4,3,17,1,0,25
Alex Ferrari,it ITA,DF,Cremonese,28-292,1994,8.3,0,0.1,0.2,-0.1,3,24,3,0,22
Salvador Ferrer,es ESP,DF,Spezia,25-088,1998,1.1,0,0,0,0,1,1,0,0,1
Alessandro Florenzi,it ITA,DF,Milan,32-039,1991,2.2,0,0.5,1,-0.5,6,7,6,5,10
Matteo Gabbia,it ITA,DF,Milan,23-180,1999,6.8,0,0,0,0,0,14,0,0,15
Antonino Gallo,it ITA,DF,Lecce,23-104,2000,20.9,1,1.5,1.7,-0.5,29,98,27,17,128
Federico Gatti,it ITA,DF,Juventus,24-299,1998,10,0,0.9,0.6,-0.9,3,33,1,0,35
Valentin Gendrey,fr FRA,DF,Lecce,22-302,2000,28,1,1.9,1.3,-0.9,21,59,16,9,91
Paolo Ghiglione,it ITA,DF,Cremonese,26-076,1997,6.8,1,0.5,0.5,+0.5,11,15,15,12,18
Mario Gila,es ESP,DF,Lazio,22-233,2000,1,0,0,0,0,0,1,0,0,6
Robin Gosens,de GER,DF,Inter,28-288,1994,9.9,0,2.2,2.7,-2.2,14,29,13,7,36
Andrew Gravillon,gp GLP,DF,Torino,25-070,1998,3.3,0,0,0,0,0,5,0,0,9
Koray Günter,de GER,DF,Hellas Verona,28-246,1994,11.1,0,0.9,0.3,-0.9,8,31,1,1,36
Norbert Gyömbér,sk SVK,DF,Salernitana,30-290,1992,15.6,0,0.1,0.1,-0.1,2,30,0,0,40
Hans Hateboer,nl NED,DF,Atalanta,29-100,1994,15.5,1,1.5,1.4,-0.5,13,28,16,7,55
Jack Hendry,sct SCO,DF,Cremonese,27-347,1995,2.4,0,0,0,0,1,12,1,0,9
