Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Omar Mascarell,es ESP,"MF,DF",Elche,30-076,1993,25.2,0.04,0.04,0.04,0,0.79,3.53,0.12,0.04,3.89
Jon Moncayola,es ESP,"MF,DF",Osasuna,24-341,1998,21.1,0,0.04,0.05,-0.04,0.81,6.21,0.66,0.28,6.26
Tete Morente,es ESP,"MF,DF",Elche,26-136,1996,14.3,0,0.03,0.06,-0.03,0.56,1.89,0.63,0.35,2.8
Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,28-149,1994,7.5,0.13,0.07,0.04,0.07,0.4,1.87,0.4,0,3.2
Olasagasti,es ESP,"MF,DF",Real Sociedad,22-246,2000,0.7,0,0,0,0,0,8.57,1.43,0,2.86
Arnau Puigmal,es ESP,"MF,DF",Almería,22-099,2001,6.1,0,0.03,0.03,-0.03,0.82,1.31,0.82,0.16,2.46
Renato Tapia,pe PER,"MF,DF",Celta Vigo,27-265,1995,10.2,0,0.07,0.05,-0.07,0.78,4.71,0.39,0,4.51
Valery,es ESP,"MF,DF",Girona,23-147,1999,7.9,0.25,0.13,0.06,0.13,1.9,1.14,0.89,0.25,1.9
Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24-349,1998,4.3,0,0.12,0.05,-0.12,1.4,2.09,0.7,0,2.56
Wassim Boullif,es ESP,"DF,MF",Espanyol,18-075,2005,1,0,0,0,0,0,2,0,0,2
Fernando Calero,es ESP,"DF,MF",Espanyol,27-217,1995,13.8,0,0.01,0.02,-0.01,0.22,3.33,0.22,0,3.41
Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,29-227,1993,18.3,0.11,0.16,0.16,-0.05,1.64,1.42,1.09,0.22,3.22
Carlos Clerc,es ESP,"DF,MF",Elche,31-057,1992,21.3,0.05,0.07,0.08,-0.02,0.47,1.92,0.61,0.33,3.1
Yan Couto,br BRA,"DF,MF",Girona,20-320,2002,8.1,0.12,0.14,0.16,-0.01,1.11,2.96,1.73,0.74,4.69
Fali,es ESP,"DF,MF",Cádiz,29-250,1993,16.9,0,0.01,0.01,-0.01,0.18,2.6,0.12,0,2.72
Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,31-154,1991,24.8,0,0.01,0.02,-0.01,0.12,3.79,0.08,0,3.43
Omar El Hilali,ma MAR,"DF,MF",Espanyol,19-219,2003,1,0,0,0,0,1,0,0,0,0
Toni Lato,es ESP,"DF,MF",Valencia,25-149,1997,8,0,0.1,0.11,-0.1,1.38,3.38,1.13,0.25,3.88
Johan Mojica,co COL,"DF,MF",Elche,30-241,1992,3,0,0.1,0.07,-0.1,1,1.67,1.33,0.33,3
Rubén Peña,es ESP,"DF,MF",Osasuna,31-275,1991,7.9,0.13,0.11,0.16,0.01,1.14,3.16,1.27,0.89,4.68
Portu,es ESP,"DF,MF",Getafe,30-333,1992,14.3,0.14,0.07,0.12,0.07,1.33,1.54,1.54,0.84,2.24
