Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Cristian Romero,ar ARG,DF,Tottenham,24-357,1998,21.3,2.58,1.27,1.55,0.99,0.05,1.46,4.04,3.57,0.09
William Saliba,fr FRA,DF,Arsenal,22-026,2001,26.8,1.27,0.75,0.86,0.34,0.07,0.71,1.98,3.17,0.15
Mohammed Salisu,gh GHA,DF,Southampton,24-002,1999,21.9,2.33,1.32,1.51,0.73,0.09,1.42,3.74,5.57,0.05
Davinson Sánchez,co COL,DF,Tottenham,26-311,1996,6.8,2.5,0.88,1.62,0.74,0.15,1.47,3.97,3.97,0
Fabian Schär,ch SUI,DF,Newcastle Utd,31-120,1991,27.8,1.33,0.58,0.94,0.32,0.07,1.58,2.91,4.1,0
Nélson Semedo,pt POR,DF,Wolves,29-154,1993,22.8,2.76,1.58,1.84,0.79,0.13,0.96,3.73,2.72,0.04
Marcos Senesi,ar ARG,DF,Bournemouth,25-344,1997,22.9,1.79,1.27,1,0.79,0,1.4,3.19,5.5,0.04
Ryan Sessegnon,eng ENG,DF,Tottenham,22-336,2000,9,1.78,1.22,1,0.78,0,0.67,2.44,1.89,0.11
Luke Shaw,eng ENG,DF,Manchester Utd,27-281,1995,21.9,1.87,1.05,1.1,0.68,0.09,1.19,3.06,1.92,0.09
Thiago Silva,br BRA,DF,Chelsea,38-209,1984,20.1,1.69,1.09,0.95,0.75,0,1.44,3.13,4.53,0.1
Adam Smith,eng ENG,DF,Bournemouth,31-355,1991,27.9,1.51,0.86,0.79,0.61,0.11,0.68,2.19,2.51,0.04
Cédric Soares,pt POR,DF,Arsenal,31-231,1991,0.3,0,0,0,0,0,0,0,3.33,0
Cédric Soares,pt POR,DF,Fulham,31-231,1991,0.9,3.33,3.33,1.11,1.11,1.11,0,3.33,3.33,0
Harry Souttar,au AUS,DF,Leicester City,24-179,1998,10,1.3,0.8,0.9,0.4,0,1.1,2.4,3.9,0
Çağlar Söyüncü,tr TUR,DF,Leicester City,26-331,1996,1.9,2.63,2.11,1.58,1.05,0,1.05,3.68,4.21,0
Jack Stacey,eng ENG,DF,Bournemouth,27-013,1996,3.3,1.52,1.21,0.91,0.3,0.3,1.52,3.03,4.55,0
Jack Stephens,eng ENG,DF,Southampton,29-082,1994,0.5,4,4,4,0,0,2,6,4,0
Jack Stephens,eng ENG,DF,Bournemouth,29-082,1994,12,1.17,0.83,0.75,0.33,0.08,1.33,2.5,4.17,0
Pascal Struijk,nl NED,DF,Leeds United,23-251,1999,22.7,3.26,2.2,1.67,1.19,0.4,1.32,4.58,2.82,0
Japhet Tanganga,eng ENG,DF,Tottenham,24-019,1999,1.6,1.88,1.25,1.88,0,0,1.25,3.13,3.75,0
Matt Targett,eng ENG,DF,Newcastle Utd,27-213,1995,5.1,2.35,1.76,1.37,0.59,0.39,1.37,3.73,2.35,0
James Tarkowski,eng ENG,DF,Everton,30-151,1992,31,1.19,0.71,0.94,0.23,0.03,1.23,2.42,5.29,0.1
Kenny Tete,nl NED,DF,Fulham,27-192,1995,21.8,2.98,1.65,1.61,0.87,0.5,1.56,4.54,3.03,0.05
Luke Thomas,eng ENG,DF,Leicester City,21-313,2001,8.5,1.65,1.53,0.82,0.59,0.24,2.71,4.35,3.06,0
Kieran Tierney,sct SCO,DF,Arsenal,25-318,1997,6.9,2.03,1.16,1.16,0.72,0.14,1.3,3.33,2.75,0
Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-243,1995,9.8,1.63,0.82,1.02,0.41,0.2,0.92,2.55,2.96,0
Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-165,1998,7.4,3.65,2.43,1.62,1.35,0.68,1.89,5.54,2.03,0.14
James Tomkins,eng ENG,DF,Crystal Palace,34-021,1989,3.8,1.05,0.53,0.53,0.26,0.26,1.32,2.37,5,0
