Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Alfred Duncan,gh GHA,MF,Fiorentina,30-040,1993,6.9,1.74,1.01,0,1.74,0,0.58,2.32,0.87,0
Éderson,br BRA,MF,Atalanta,23-286,1999,19.1,3.09,1.62,0.89,1.88,0.31,1.52,4.61,1.05,0
Albin Ekdal,se SWE,MF,Spezia,33-265,1989,13.4,2.16,1.27,0.82,1.19,0.15,1.42,3.58,2.46,0
Gonzalo Escalante,ar ARG,MF,Cremonese,30-023,1993,6.2,2.58,1.29,1.29,1.29,0,1.61,4.19,0.65,0
Salvatore Esposito,it ITA,MF,Spezia,22-194,2000,3.6,1.67,1.67,0.83,0.83,0,1.39,3.06,1.94,0
Nicolò Fagioli,it ITA,MF,Juventus,22-066,2001,13.3,1.58,1.05,0.68,0.75,0.15,0.6,2.18,0.45,0.08
Jacopo Fazzini,it ITA,MF,Empoli,20-034,2003,6.5,3.85,2.15,2.46,1.08,0.31,1.08,4.92,2.77,0
Lewis Ferguson,sct SCO,MF,Bologna,23-238,1999,19.7,1.73,1.07,0.71,0.81,0.2,0.81,2.54,0.96,0
Davide Frattesi,it ITA,MF,Sassuolo,23-179,1999,26.8,1.9,1.01,0.71,0.97,0.22,0.45,2.35,1.42,0
Gianluca Gaetano,it ITA,MF,Napoli,22-349,2000,0.4,7.5,5,2.5,5,0,0,7.5,0,0
Roberto Gagliardini,it ITA,MF,Inter,29-012,1994,4.9,2.86,1.02,1.43,1.22,0.2,0.2,3.06,1.63,0
Gvidas Gineitis,lt LTU,MF,Torino,19-004,2004,1.5,2,0.67,0,1.33,0.67,0,2,0.67,0
Joan Gonzàlez,es ESP,MF,Lecce,21-077,2002,22.5,2.04,1.2,0.89,0.76,0.4,0.62,2.67,1.2,0
Alberto Grassi,it ITA,MF,Empoli,28-043,1995,6.7,2.69,2.39,1.34,1.34,0,2.84,5.52,4.33,0
Nicolas Haas,ch SUI,MF,Empoli,27-086,1996,11,2.09,1,1.09,0.55,0.45,0.64,2.73,2,0
Abdou Harroui,nl NED,MF,Sassuolo,25-096,1998,4.9,3.06,1.02,1.02,1.22,0.82,0.2,3.27,1.84,0
Liam Henderson,sct SCO,MF,Empoli,26-359,1996,8.8,1.02,0.91,0.45,0.45,0.11,1.02,2.05,0.91,0
Matheus Henrique,br BRA,MF,Sassuolo,25-121,1997,15.1,0.99,0.6,0.46,0.33,0.2,0.66,1.66,0.46,0
Morten Hjulmand,dk DEN,MF,Lecce,23-298,1999,26.6,2.82,1.62,1.54,1.28,0,2.33,5.15,1.8,0
Martin Hongla,cm CMR,MF,Hellas Verona,25-034,1998,5.8,1.38,0.86,0.69,0.69,0,1.03,2.41,1.55,0
Ajdin Hrustic,au AUS,MF,Hellas Verona,26-288,1996,2.5,0.8,0.4,0.4,0.4,0,0,0.8,0.8,0.4
Ivan Ilić,rs SRB,MF,Hellas Verona,22-033,2001,9.5,1.68,1.05,0.95,0.74,0,0.84,2.53,1.47,0
Ivan Ilić,rs SRB,MF,Torino,22-033,2001,5.4,1.11,0.56,0.37,0.56,0.19,0.56,1.67,0.74,0
Emirhan İlkhan,tr TUR,MF,Torino,18-322,2004,1,1,1,0,1,0,2,3,2,0
Emirhan İlkhan,tr TUR,MF,Sampdoria,18-322,2004,0.5,4,2,2,0,2,0,4,2,0
