Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Hugo Ekitike,fr FRA,FW,Paris S-G,20-303,2002,9.5,1.05,0.42,0.11,0.84,0.11,0.63,1.68,0.21,0
Sepe Elye Wahi,fr FRA,FW,Montpellier,20-107,2003,23,0.3,0.13,0.09,0.13,0.09,0.13,0.43,0.22,0
Breel Embolo,ch SUI,FW,Monaco,26-064,1997,19.5,0.77,0.46,0.1,0.36,0.31,0.26,1.03,0.62,0
Cheikh Faye,sn SEN,FW,Montpellier,24-082,1999,0.4,0,0,0,0,0,2.5,2.5,0,0
Kévin Gameiro,fr FRA,FW,Strasbourg,35-345,1987,21.8,0.83,0.41,0.23,0.46,0.14,0.37,1.19,0,0
Ignatius Ganago,cm CMR,FW,Lens,24-062,1999,0.7,0,0,0,0,0,0,0,1.43,0
Rafik Guitane,fr FRA,FW,Reims,23-328,1999,0,0,0,0,0,0,0,0,1,0
Saïd Hamulic,nl NED,FW,Toulouse,22-158,2000,0.9,0,0,0,0,0,0,0,0,0
Rhys Healey,wls WAL,FW,Toulouse,28-134,1994,0.7,0,0,0,0,0,0,0,0,0
Ilyes Housni,fr FRA,FW,Paris S-G,17-340,2005,0.1,10,10,10,0,0,0,10,0,0
Mounaim El Idrissy,fr FRA,FW,Ajaccio,24-068,1999,24.1,1.16,0.75,0.21,0.66,0.29,0.46,1.62,0.75,0
Junya Ito,jp JPN,FW,Reims,30-041,1993,25.4,1.42,0.71,0.51,0.51,0.39,0.31,1.73,0.16,0.04
Marin Jakoliš,hr CRO,FW,Angers,26-114,1996,0.3,3.33,3.33,0,0,3.33,0,3.33,0,0
Luis Javier Suárez,co COL,FW,Marseille,25-138,1997,3.3,1.21,0.3,0.3,0.61,0.3,0.91,2.12,1.82,0
Jefferson,br BRA,FW,Lyon,23-110,1999,1.6,1.88,0.63,0.63,0.63,0.63,0.63,2.5,0,0
Gaël Kakuta,cd COD,FW,Lens,31-302,1991,0.2,0,0,0,0,0,0,0,5,0
Arnaud Kalimuendo,fr FRA,FW,Rennes,21-089,2002,17.7,0.79,0.4,0.17,0.28,0.34,0.11,0.9,0.45,0
Ibrahima Koné,ml MLI,FW,Lorient,23-307,1999,11.6,0.78,0.34,0.17,0.52,0.09,0.26,1.03,0.86,0
Grejohn Kyei,fr FRA,FW,Clermont Foot,27-250,1995,18.6,0.65,0.16,0.05,0.43,0.16,0.16,0.81,0.7,0
Gaëtan Laborde,fr FRA,FW,Nice,28-351,1994,20.8,1.49,0.77,0.43,0.67,0.38,0.43,1.92,0.53,0
Gaëtan Laborde,fr FRA,FW,Rennes,28-351,1994,2.8,0.36,0.36,0.36,0,0,0,0.36,0.36,0
Alexandre Lacazette,fr FRA,FW,Lyon,31-326,1991,25.5,1.49,0.78,0.27,0.59,0.63,0.51,2,0.16,0
Armand Lauriente,fr FRA,FW,Lorient,24-136,1998,3,2.67,2.33,1,1.33,0.33,1.33,4,0.33,0
Stephy Mavididi,eng ENG,FW,Montpellier,24-323,1998,11.3,1.59,1.33,0.62,0.62,0.35,0.27,1.86,0.8,0
Kylian Mbappé,fr FRA,FW,Paris S-G,24-120,1998,24.3,0.33,0.16,0,0.12,0.21,0.16,0.49,0.16,0
