Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Cédric Soares,pt POR,DF,Arsenal,31-231,1991,0.3,0,0,0,0,0,0,0,0,10
Cédric Soares,pt POR,DF,Fulham,31-231,1991,0.9,0,0.11,0.11,-0.11,1.11,7.78,3.33,2.22,5.56
Harry Souttar,au AUS,DF,Leicester City,24-179,1998,10,0.1,0.02,0.01,0.08,0.3,3.6,0.1,0,2.8
Çağlar Söyüncü,tr TUR,DF,Leicester City,26-331,1996,1.9,0,0.05,0,-0.05,0.53,2.63,0,0,2.63
Jack Stacey,eng ENG,DF,Bournemouth,27-013,1996,3.3,0,0,0,0,0,1.82,0.3,0.3,0.61
Jack Stephens,eng ENG,DF,Southampton,29-082,1994,0.5,0,0,0,0,0,6,0,0,6
Jack Stephens,eng ENG,DF,Bournemouth,29-082,1994,12,0,0.02,0.02,-0.02,0.25,2.08,0.25,0.17,2.08
Pascal Struijk,nl NED,DF,Leeds United,23-251,1999,22.7,0.04,0.1,0.05,-0.06,0.57,3.83,0.53,0.13,5.02
Japhet Tanganga,eng ENG,DF,Tottenham,24-019,1999,1.6,0,0,0,0,0,2.5,0.63,0.63,3.13
Matt Targett,eng ENG,DF,Newcastle Utd,27-213,1995,5.1,0,0.08,0.12,-0.08,1.57,3.33,0.98,0,6.67
James Tarkowski,eng ENG,DF,Everton,30-151,1992,31,0.03,0.07,0.06,-0.04,0.45,2.74,0.06,0,2.9
Kenny Tete,nl NED,DF,Fulham,27-192,1995,21.8,0.18,0.07,0.07,0.11,0.87,2.39,0.96,0.78,3.44
Luke Thomas,eng ENG,DF,Leicester City,21-313,2001,8.5,0,0.08,0.05,-0.08,0.47,3.18,0.47,0.24,4.35
Kieran Tierney,sct SCO,DF,Arsenal,25-318,1997,6.9,0.14,0.04,0.06,0.1,0.58,4.64,0.87,0.14,4.35
Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-243,1995,9.8,0,0.08,0.09,-0.08,0.51,1.22,0.71,0.41,2.65
Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-165,1998,7.4,0.14,0.08,0.03,0.05,0.54,5.54,0.81,0.27,6.89
James Tomkins,eng ENG,DF,Crystal Palace,34-021,1989,3.8,0,0,0,0,0,0.53,0,0,0.53
