Player,Nation,Pos,Squad,Age,Born,90s,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Nathan N'Goumou,fr FRA,FW,Toulouse,23-036,2000,1,0,0.3,0.4,-0.3,1,2,4,1,5
Youssouf Ndayishimiye,bi BDI,"DF,MF",Nice,24-174,1998,5.6,0,0.02,0.05,-0.02,0.18,4.82,0.54,0.18,4.64
Papa Ndiaga Yade,sn SEN,DF,Troyes,23-104,2000,5.8,0.17,0.16,0.1,0.02,1.55,1.55,1.03,0.69,2.59
Neymar,br BRA,"MF,FW",Paris S-G,31-073,1992,17.2,0.64,0.51,0.43,0.13,2.85,7.85,2.79,0.12,9.36
Ibrahima Niane,sn SEN,FW,Angers,24-039,1999,7.6,0,0.04,0.07,-0.04,0.66,1.71,0.39,0,2.24
M'Baye Niang,sn SEN,FW,Auxerre,28-121,1994,13.5,0,0.02,0.04,-0.02,0.22,0.59,0.44,0.07,1.85
Rasmus Nicolaisen,dk DEN,DF,Toulouse,26-034,1997,28.3,0.07,0.02,0.02,0.05,0.14,1.98,0.07,0,3.07
Arnaud Nordin,fr FRA,"FW,MF",Montpellier,24-306,1998,19.8,0.1,0.07,0.07,0.03,0.45,1.06,0.56,0.1,2.42
Riad Nouri,fr FRA,MF,Ajaccio,37-316,1985,15.6,0.06,0.14,0.14,-0.08,1.6,1.92,0.9,0.77,2.18
Alexander Nübel,de GER,GK,Monaco,26-201,1996,31,0,0,0.01,0,0.03,0.1,0,0,0
Gerzino Nyamsi,fr FRA,DF,Strasbourg,26-087,1997,15.4,0.06,0.01,0.02,0.06,0.13,3.31,0.39,0,4.16
Wilson Odobert,fr FRA,"MF,FW",Troyes,18-142,2004,15.7,0.13,0.1,0.06,0.03,1.15,1.15,0.64,0.32,2.04
Florent Ogier,fr FRA,DF,Clermont Foot,34-029,1989,14.9,0.07,0.09,0.04,-0.02,0.34,2.95,0.13,0,3.62
Warmed Omari,fr FRA,DF,Rennes,22-361,2000,9.1,0,0.04,0.04,-0.04,0.44,2.64,0.22,0,3.63
Jonas Omlin,ch SUI,GK,Montpellier,29-099,1994,13,0,0,0,0,0,0.31,0,0,0
Ado Onaiwu,jp JPN,FW,Toulouse,27-162,1995,9.2,0.11,0.11,0.14,0,0.65,1.2,0.54,0.11,2.07
Jean Onana,cm CMR,MF,Lens,23-101,2000,4.7,0,0.02,0.04,-0.02,0.85,4.26,0.64,0.21,3.4
Loïs Openda,be BEL,FW,Lens,23-062,2000,21.7,0.09,0.13,0.14,-0.04,0.83,0.6,0.65,0.09,1.52
Dango Ouattara,bf BFA,"FW,MF",Lorient,21-067,2002,17.2,0.29,0.18,0.17,0.11,1.34,1.16,1.34,0.12,2.27
Zinédine Ould Khaled,fr FRA,"MF,FW",Angers,23-095,2000,0.5,0,0,0,0,0,6,2,0,10
Azzedine Ounahi,ma MAR,"MF,FW",Marseille,23-000,2000,1.3,0,0.15,0.08,-0.15,0.77,6.92,0,0,3.85
Azzedine Ounahi,ma MAR,"MF,FW",Angers,23-000,2000,12.5,0,0.13,0.14,-0.13,1.36,5.6,0.96,0.08,6.96
Adam Ounas,dz ALG,FW,Lille,26-159,1996,10,0.1,0.25,0.25,-0.15,2.3,3.1,2.6,0.3,5.7
Ante Palaversa,hr CRO,MF,Troyes,23-013,2000,0.3,0,0.33,0,-0.33,6.67,3.33,0,0,0
Nicolas Pallois,fr FRA,DF,Nantes,35-212,1987,20,0,0.01,0.05,-0.01,0.1,3.55,0.25,0.05,3.2
Erik Palmer-Brown,us USA,DF,Troyes,25-360,1997,28.5,0,0.01,0.05,-0.01,0.25,1.86,0.28,0.04,2.32
Lucas Paquetá,br BRA,MF,Lyon,25-235,1997,1.8,0,0.11,0.39,-0.11,1.67,7.78,1.67,0.56,4.44
Leandro Paredes,ar ARG,MF,Paris S-G,28-294,1994,0.6,1.67,0.67,0.67,1,3.33,11.7,1.67,0,10
Dimitri Payet,fr FRA,"MF,FW",Marseille,36-021,1987,8.2,0.37,0.43,0.4,-0.06,3.78,4.15,2.93,0.12,7.44
Théo Pellenard,fr FRA,DF,Auxerre,29-046,1994,0.2,0,0,0,0,0,0,0,0,0
Timothee Pembele,fr FRA,DF,Paris S-G,20-222,2002,2.9,0.34,0.1,0.14,0.24,0.69,0.69,0,0,1.72
Patrick Pentz,at AUT,GK,Reims,26-107,1997,7,0,0,0,0,0,0.43,0,0,0
Nicolas Pépé,ci CIV,"FW,MF",Nice,27-325,1995,16.6,0,0.16,0.19,-0.16,1.69,1.75,1.14,0.24,3.19
Brayann Pereira,fr FRA,DF,Auxerre,19-333,2003,2,0,0,0,0,0,0.5,0,0,2
Danilo Pereira,pt POR,"DF,MF",Paris S-G,31-222,1991,20.2,0,0.02,0.03,-0.02,0.2,6.88,0.3,0,5.64
Mathias Pereira Lage,pt POR,"MF,FW",Brest,26-140,1996,12.1,0.08,0.12,0.08,-0.03,0.74,1.98,0.17,0.08,2.31
Gaëtan Perrin,fr FRA,"MF,FW",Auxerre,26-316,1996,13.7,0.07,0.13,0.08,-0.06,1.75,2.63,0.95,0.22,4.38
Lucas Perrin,fr FRA,DF,Strasbourg,24-151,1998,13.8,0,0.05,0.09,-0.05,0.43,3.41,0.51,0.07,2.9
Ronaël Pierre-Gabriel,fr FRA,DF,Strasbourg,24-310,1998,7.3,0.14,0.11,0.1,0.03,0.55,3.56,0.41,0.41,3.01
Julien Ponceau,fr FRA,MF,Lorient,22-142,2000,17.4,0.23,0.17,0.11,0.06,1.49,3.85,0.69,0.06,5.23
Łukasz Poręba,pl POL,MF,Lens,23-037,2000,2.7,0.37,0.26,0.15,0.11,1.85,4.44,1.85,0.74,6.67
Jackson Porozo,ec ECU,DF,Troyes,22-258,2000,16.9,0,0.01,0.03,-0.01,0.06,1.24,0.06,0,1.48
Sanjin Prcić,ba BIH,MF,Strasbourg,29-150,1993,17.5,0.06,0.05,0.08,0.01,0.69,4.74,0.57,0.11,6.17
Mehdi Puch Herrantz,fr FRA,MF,Ajaccio,19-089,2004,0.3,0,0.33,0,-0.33,3.33,3.33,3.33,0,10
Ghjuvanni Quilichini,fr FRA,GK,Ajaccio,20-230,2002,0.9,0,0,0,0,0,0,0,0,0
Ionuț Radu,ro ROU,GK,Auxerre,25-326,1997,11,0,0,0,0,0.09,1.09,0,0,0
Simon Ramet,fr FRA,DF,Lille,20-037,2003,0,0,0,0,0,0,0,0,0,0
Adil Rami,fr FRA,DF,Troyes,37-113,1985,12.8,0.08,0.05,0.01,0.03,0.23,2.73,0.16,0.08,1.88
Sergio Ramos,es ESP,DF,Paris S-G,37-020,1986,23,0.04,0,0.03,0.04,0.13,7,0.22,0.09,5.57
Aaron Ramsey,wls WAL,MF,Nice,32-114,1990,15.5,0.06,0.1,0.13,-0.04,1.61,5.23,1.23,0.19,7.16
Lilian Raolisoa,fr FRA,"DF,MF",Angers,22-307,2000,1.2,0,0.33,0.08,-0.33,0.83,0.83,2.5,0.83,5
Elba Rashani,xk KVX,"MF,FW",Clermont Foot,29-345,1993,18.6,0.11,0.1,0.07,0.01,0.59,1.45,0.54,0.16,2.31
Rafael Ratão,br BRA,FW,Toulouse,27-140,1995,16.4,0.12,0.18,0.2,-0.06,1.46,2.01,1.52,0.43,3.84
Rayan Raveloson,mg MAD,"DF,MF",Auxerre,26-093,1997,20.1,0.05,0.04,0.05,0,0.6,2.74,0.55,0.3,3.43
Jeff Reine-Adélaïde,fr FRA,MF,Troyes,25-092,1998,1.3,0.77,0.23,0.08,0.54,0.77,3.85,0,0,6.92
Jeff Reine-Adélaïde,fr FRA,MF,Lyon,25-092,1998,3.7,0,0.24,0.19,-0.24,2.16,8.38,1.35,0.27,8.65
Alexsandro Ribeiro,br BRA,DF,Lille,23-253,1999,11.9,0,0.01,0.03,-0.01,0.17,3.7,0.08,0.08,4.37
Rémy Riou,fr FRA,GK,Lyon,35-256,1987,6.7,0,0,0,0,0,0,0,0,0.15
Renaud Ripart,fr FRA,"FW,MF",Troyes,30-036,1993,14.7,0.07,0.13,0.05,-0.06,1.43,1.84,0.68,0.07,3.2
Joe Rodon,wls WAL,DF,Rennes,25-179,1997,13.7,0,0,0.01,0,0.07,2.63,0,0,3.14
Valentin Rongier,fr FRA,MF,Marseille,28-133,1994,27.7,0.04,0.06,0.08,-0.03,0.83,6.71,1.08,0.04,6.9
Pablo Rosario,nl NED,"MF,DF",Nice,26-102,1997,15.6,0.06,0.11,0.06,-0.04,1.09,4.23,0.9,0.19,5.51
Anthony Rouault,fr FRA,DF,Toulouse,21-325,2001,30.8,0.03,0.03,0.01,0.01,0.19,2.92,0.19,0,3.57
Kays Ruiz,ma MAR,MF,Auxerre,20-236,2002,0.7,0,0,0,0,0,0,0,0,0
Fabián Ruiz Peña,es ESP,MF,Paris S-G,27-016,1996,17,0.06,0.08,0.11,-0.02,0.59,7.29,0.65,0,5.65
Halid Šabanović,ba BIH,"DF,FW",Angers,23-240,1999,4.4,0,0,0.02,0,0.45,3.41,0.45,0.23,3.64
Falaye Sacko,ml MLI,DF,Montpellier,27-353,1995,22.5,0.13,0.04,0.04,0.09,0.71,1.78,0.44,0.18,2.62
Wesley Saïd,fr FRA,"FW,MF",Lens,28-000,1995,6.8,0,0.13,0.1,-0.13,0.88,2.21,1.76,0,3.53
Théo Sainte-Luce,fr FRA,DF,Montpellier,24-181,1998,3.9,0.26,0.15,0.18,0.1,1.28,2.56,1.03,0.51,3.33
Hamza Sakhi,ma MAR,MF,Auxerre,26-316,1996,17.7,0.11,0.17,0.16,-0.06,1.92,5.31,1.19,0.4,7.34
Mamadou Sakho,fr FRA,DF,Montpellier,33-065,1990,7.6,0,0.03,0.05,-0.03,0.13,1.84,0,0,4.08
Ibrahim Salah,ma MAR,"FW,MF",Rennes,21-232,2001,1.8,0,0.06,0.17,-0.06,1.67,2.78,2.22,0.56,6.11
Amine Salama,fr FRA,"FW,MF",Angers,22-275,2000,13.9,0.07,0.11,0.14,-0.04,0.65,1.22,0.86,0.14,1.51
Yoann Salmier,gf GUF,DF,Troyes,30-149,1992,27.4,0,0.01,0.01,-0.01,0.18,3.65,0.04,0,4.23
Mama Samba Baldé,gw GNB,FW,Troyes,27-164,1995,24.3,0.12,0.09,0.06,0.04,0.86,1.11,0.41,0,1.85
Brice Samba,fr FRA,GK,Lens,28-359,1994,31,0,0,0,0,0,0.39,0.03,0,0.03
Renato Sanches,pt POR,MF,Paris S-G,25-244,1997,6,0,0.18,0.1,-0.18,1.33,8,0.33,0,7.5
Alexis Sánchez,cl CHI,"FW,MF",Marseille,34-121,1988,23.8,0.08,0.21,0.18,-0.12,1.93,2.35,2.35,0.17,4.58
Morgan Sanson,fr FRA,MF,Strasbourg,28-244,1994,9.2,0.22,0.15,0.15,0.07,1.2,2.93,1.09,0.22,3.48
Baptiste Santamaria,fr FRA,MF,Rennes,28-041,1995,15.1,0,0.04,0.08,-0.04,0.66,6.95,0.46,0,7.55
Pablo Sarabia,es ESP,"FW,MF",Paris S-G,30-343,1992,4.1,0,0.32,0.27,-0.32,2.44,3.41,1.71,0,4.39
Muhammed Saracevic Cham,at AUT,MF,Clermont Foot,22-205,2000,18,0.11,0.11,0.13,0,1.28,2.89,1.44,0.06,4.56
Amin Sarr,se SWE,FW,Lyon,22-039,2001,4.8,0,0.04,0.04,-0.04,0.42,1.04,0.63,0,1.46
Malang Sarr,fr FRA,DF,Monaco,24-086,1999,8,0,0,0.03,0,0.13,6.88,0.13,0,7.38
Téji Savanier,fr FRA,MF,Montpellier,31-118,1991,24.9,0.08,0.2,0.2,-0.12,2.01,6.06,1.77,0.32,7.59
Kasper Schmeichel,dk DEN,GK,Nice,36-165,1986,29,0,0.01,0,-0.01,0.07,0.21,0,0,0
